STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMIN,PEAK_SPEED,PEAK_DIR
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/20/1999,3,",,X",0,",,0,2400",31.1,",,W",38.3,23.9,16.54048,60
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/26/1999,2.8,",,X",0,",,0,2400",31.1,",,W",37.2,24.4,6.7056,190
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/29/1999,2.6,",,X",0,",,0,2400",31.1,",,W",37.2,24.4,8.9408,360
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/14/1999,2.5,",,X",0,"T,,0,2400",31.7,",,W",38.3,24.4,10.28192,70
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",29.95205,-94.02616,3.8,8/19/1999,3.2,",,X",0,",,0,2400",31.7,",,W",38.3,24.4,11.62304,320
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/23/1999,5.4,",,X",3,",,0,2400",26.7,",,W",30.6,22.8,11.176,140
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/22/1999,3.6,",,X",0,",,0,2400",28.3,",,W",32.8,23.9,8.04672,100
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/24/1999,4,",,X",26.2,",,0,2400",28.3,",,W",33.9,22.2,8.04672,120
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/31/1999,2.1,",,X",0,",,0,2400",28.9,",,W",35.6,21.7,14.30528,330
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/25/1999,2.7,",,X",0,",,0,2400",29.4,",,W",35,23.3,7.59968,90
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/30/1999,2.1,",,X",0,",,0,2400",29.4,",,W",36.1,22.2,8.9408,150
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/2/1999,3,",,X",0,",,0,2400",30,",,W",36.1,23.9,8.9408,150
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/3/1999,2.9,",,X",0,",,0,2400",30,",,W",35.6,24.4,8.9408,140
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/5/1999,2.2,",,X",0,",,0,2400",30,",,W",37.2,22.2,9.83488,160
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/6/1999,2.8,",,X",0,",,0,2400",30,",,W",36.7,22.8,10.72896,140
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/8/1999,3.1,",,X",0,",,0,2400",30,",,W",36.1,23.9,11.176,150
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/17/1999,2.8,",,X",0,",,0,2400",30,",,W",36.1,23.3,11.176,140
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/18/1999,2.6,",,X",0,",,0,2400",30,",,W",36.1,23.9,8.9408,140
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/19/1999,2.9,",,X",0,",,0,2400",30,",,W",37.8,22.2,7.15264,110
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/26/1999,3,",,X",0,",,0,2400",30,",,W",35,24.4,8.9408,120
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/29/1999,2.1,",,X",18.5,",,0,2400",30,",,W",36.1,23.9,9.38784,80
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/1/1999,4.4,",,X",0,",,0,2400",30.6,",,W",36.1,24.4,9.83488,160
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",29.54429,-98.48395,243.6,8/4/1999,1.7,",,X",5.8,",,0,2400",30.6,",,W",36.7,23.9,6.7056,160
