date,time,water_level,water_temp,wind_speed,wind_dir,wind_gust,air_temp
09-07-20,02:00,0.345,30.5,8.23,176,11.37,-
09-07-20,03:00,0.319,30.4,7.66,172,9.58,-
09-07-20,04:00,0.281,30.3,8.2,174,10.25,-
09-07-20,05:00,0.25,30.1,6.63,179,10.55,-
09-07-20,06:00,0.222,29.9,7.35,175,10.47,-
09-07-20,07:00,0.187,29.8,7.29,178,9.7,-
09-07-20,08:00,0.156,29.7,7.93,188,10.56,-
09-07-20,09:00,0.12,29.6,7.28,200,10.69,-
09-07-20,10:00,0.097,29.6,6.45,187,9.17,-
09-07-20,11:00,0.082,29.5,7.23,179,9.87,-
09-07-20,12:00,0.061,29.4,5.91,184,7.86,-
09-07-20,13:00,0.066,29.3,6.46,174,8.27,-
09-07-20,14:00,0.085,29.2,8.28,186,10.3,-
09-07-20,15:00,0.116,29.2,8.07,186,12.74,-
09-07-20,16:00,0.154,29.2,7.49,183,10.75,-
09-07-20,17:00,0.193,29.6,9.14,179,10.93,-
09-07-20,18:00,0.235,30,8.57,169,10.23,-
09-07-20,19:00,0.268,30.3,8.66,172,13.95,-
09-07-20,20:00,0.301,30.6,9.65,163,11.3,-
09-07-20,21:00,0.322,30.9,9.55,172,11.2,-
09-07-20,22:00,0.337,30.9,9.76,172,11.43,-
09-07-20,23:00,0.36,31,8.39,169,11.61,-
10-07-20,00:00,0.366,30.9,9.17,168,13.49,-
10-07-20,01:00,0.364,30.7,10.69,181,12.33,-
10-07-20,02:00,0.368,30.5,8.62,172,10.34,-
10-07-20,03:00,0.331,30.3,6.49,179,9.96,-
10-07-20,04:00,0.304,30.2,6.34,169,7.33,-
10-07-20,05:00,0.275,30,6.54,173,8.59,-
10-07-20,06:00,0.249,30,5.42,169,7.79,-
10-07-20,07:00,0.221,29.8,6.01,180,6.83,-
10-07-20,08:00,0.192,29.6,8.03,180,9.04,-
10-07-20,09:00,0.17,29.5,8.18,186,10.87,-
10-07-20,10:00,0.163,29.4,6.93,175,8.49,-
10-07-20,11:00,0.132,29.4,6.63,176,8.21,-
10-07-20,12:00,0.111,29.3,5.77,173,7.58,-
10-07-20,13:00,0.103,29.3,5.16,175,7.5,-
10-07-20,14:00,0.1,29.1,5.84,189,8.47,-
10-07-20,15:00,0.131,29.2,5.75,193,8.25,-
10-07-20,16:00,0.164,29.3,6.91,166,10.01,-
10-07-20,17:00,0.197,29.8,8.09,174,10.76,-
10-07-20,18:00,0.224,30.2,7.44,152,8.92,-
10-07-20,19:00,0.254,30.6,9.35,153,12.18,-
10-07-20,20:00,0.277,30.8,8.79,172,11.15,-
10-07-20,21:00,0.301,31.2,7.73,154,9.07,-
10-07-20,22:00,0.311,31.3,8.42,152,10.36,-
10-07-20,23:00,0.304,31.5,9.99,178,11.94,-
11-07-20,00:00,0.288,31.5,7.45,177,10.07,-
11-07-20,01:00,0.266,31.2,7.04,175,8.4,-
11-07-20,02:00,0.233,31,7.38,182,9.12,-
11-07-20,03:00,0.205,30.9,6.57,178,7.72,-
11-07-20,04:00,0.182,30.7,6.08,174,8.07,-
11-07-20,05:00,0.162,30.6,4.56,165,5.69,-
11-07-20,06:00,0.136,30.4,4.24,161,5.45,-
11-07-20,07:00,0.111,30.2,7.23,180,11.26,-
11-07-20,08:00,0.095,30,6.76,185,9.28,-
11-07-20,09:00,0.092,29.8,3.83,198,5.42,-
11-07-20,10:00,0.059,29.7,5.19,221,7.06,-
11-07-20,11:00,0.058,29.6,3.63,145,5.18,-
11-07-20,12:00,0.035,29.5,4.34,169,5.21,-
11-07-20,13:00,0.033,29.4,5.09,172,6.44,-
11-07-20,14:00,0.052,29.4,4.72,191,7.22,-
11-07-20,15:00,0.066,29.4,5.17,199,6.9,-
11-07-20,16:00,0.093,29.5,4.02,225,6.87,-
11-07-20,17:00,0.124,29.7,4.58,172,6.12,-
11-07-20,18:00,0.172,30.9,4.96,169,6.15,-
11-07-20,19:00,0.201,31.3,5.46,166,9.04,-
11-07-20,20:00,0.223,31.7,9.95,129,12.98,-
11-07-20,21:00,0.236,32,7.56,139,9.01,-
11-07-20,22:00,0.223,32.4,7.38,134,9.59,-
11-07-20,23:00,0.209,32.4,6.66,165,7.92,-
12-07-20,00:00,0.194,32.3,7.95,160,9.02,-
12-07-20,01:00,0.186,32,5.29,171,7.97,-
12-07-20,02:00,0.17,31.7,6.7,180,8.12,-
12-07-20,03:00,0.142,31.4,7,183,8.4,-
12-07-20,04:00,0.142,31.4,5.99,187,8.45,-
12-07-20,05:00,0.106,31.3,7.06,195,9.17,-
12-07-20,06:00,0.112,31.1,5.98,198,8.53,-
12-07-20,07:00,0.102,30.9,4.94,219,7.96,-
12-07-20,08:00,0.091,30.7,4.71,225,6.73,-
12-07-20,09:00,0.063,30.4,4.69,229,6.93,-
12-07-20,10:00,0.045,30.3,4.23,233,5.05,-
12-07-20,11:00,0.028,30.1,1.85,191,2.82,-
12-07-20,12:00,0.011,29.9,2.98,177,3.94,-
12-07-20,13:00,0.007,29.8,4.11,182,6.04,-
12-07-20,14:00,0.003,29.7,4.97,241,7.17,-
12-07-20,15:00,-0.006,29.6,4.67,225,7.57,-
12-07-20,16:00,0.02,29.7,3.39,224,6.2,-
12-07-20,17:00,0.052,29.8,2.25,185,3.02,-
12-07-20,18:00,0.091,30.2,5.68,82,6.57,-
12-07-20,19:00,0.114,30.7,4.38,115,8.88,-
12-07-20,20:00,0.142,31.3,8.29,125,9.65,-
12-07-20,21:00,0.147,31.8,7.3,141,9.54,-
12-07-20,22:00,0.153,32.2,7.42,130,9.52,-
12-07-20,23:00,0.122,32.3,5.5,165,7.67,-
13-07-20,00:00,0.095,32.6,7.28,159,8.07,-
13-07-20,01:00,0.069,32.4,8.29,180,9.73,-
13-07-20,02:00,0.051,32.1,5.87,181,7.99,-
13-07-20,03:00,0.05,31.9,5.57,167,7.62,-
13-07-20,04:00,0.056,31.5,5.41,177,7.27,-
13-07-20,05:00,0.052,31.4,6.45,179,9.99,-
13-07-20,06:00,0.049,31.2,6.24,191,8.65,-
13-07-20,07:00,0.054,30.9,5.46,205,9.09,-
13-07-20,08:00,0.069,30.8,4.7,222,6.13,-
13-07-20,09:00,0.079,30.6,5.13,232,6.48,-
13-07-20,10:00,0.067,30.4,4.78,229,8.16,-
13-07-20,11:00,0.046,30.2,6.87,227,8.68,-
13-07-20,12:00,0.056,30.1,4.02,232,5.81,-
13-07-20,13:00,0.053,29.9,3.31,204,5.68,-
13-07-20,14:00,0.065,29.8,3.5,184,6.19,-
13-07-20,15:00,0.077,29.8,4.62,215,8.13,-
13-07-20,16:00,0.099,29.8,4.25,201,7.5,-
13-07-20,17:00,0.109,29.9,3.69,200,6.85,-
13-07-20,18:00,0.132,30.4,4.87,189,7.37,-
13-07-20,19:00,0.155,31.1,3.63,170,7.12,-
13-07-20,20:00,0.168,31.6,5.63,186,7.62,-
13-07-20,21:00,0.175,32,7.14,174,9.14,-
13-07-20,22:00,0.168,32.2,7.63,166,9.29,-
13-07-20,23:00,0.142,32.3,9,173,11.83,-
14-07-20,00:00,0.139,32.1,9,175,11.12,-
14-07-20,01:00,0.12,31.9,8.27,184,10.61,-
14-07-20,02:00,0.1,31.6,7.96,192,11.91,-
14-07-20,03:00,0.096,31.2,10.3,187,12.08,-
14-07-20,04:00,0.093,30.9,8.49,186,11.86,-
14-07-20,05:00,0.076,30.7,7.34,188,12.35,-
14-07-20,06:00,0.067,30.5,7.64,189,9.98,-
14-07-20,07:00,0.057,30.3,6.23,194,9.83,-
14-07-20,08:00,0.069,30.1,5.84,179,8.34,-
14-07-20,09:00,0.06,30,5.89,225,7.69,-
14-07-20,10:00,0.078,29.8,4.66,231,7.26,-
14-07-20,11:00,0.065,29.6,4.77,226,6.45,-
14-07-20,12:00,0.076,29.5,4,214,5.25,-
14-07-20,13:00,0.086,29.4,5.34,225,6.87,-
14-07-20,14:00,0.094,29.3,6.06,223,7.19,-
14-07-20,15:00,0.093,29.3,6.85,210,7.43,-
14-07-20,16:00,0.106,29.3,7.04,184,9.86,-
14-07-20,17:00,0.122,29.5,5.52,201,9.12,-
14-07-20,18:00,0.146,29.8,7.13,169,10.44,-
14-07-20,19:00,0.168,30.8,7.22,183,9.14,-
14-07-20,20:00,0.171,31.2,6.81,191,10.02,-
14-07-20,21:00,0.18,31.5,8.16,168,11.29,-
14-07-20,22:00,0.19,31.8,9.19,168,11.79,-
14-07-20,23:00,0.172,31.8,10.98,164,13.18,-
15-07-20,00:00,0.155,31.7,9.48,174,11.93,-
15-07-20,01:00,0.13,31.4,10.36,175,12.58,-
